2026-04-23 01:57:13 | INFO | logica.lector_excel | Iniciando carga de archivo: C:\Users\mondr\Downloads\archivo_prueba_clasificador_oracle_limpio.xlsx
2026-04-23 01:57:13 | INFO | logica.lector_excel | Archivo cargado correctamente. Hoja: MOVIMIENTOS_ORACLE, filas: 120, columnas: 15
2026-04-23 01:57:13 | INFO | logica.validador_estructura | Iniciando validacion estructural con 15 columnas.
2026-04-23 01:57:13 | INFO | logica.validador_estructura | Validacion finalizada. Estructura valida: True. Faltantes: 0. Mapeadas: 7.
2026-04-23 01:57:13 | INFO | logica.normalizador_datos | Iniciando normalizacion de datos.
2026-04-23 01:57:13 | INFO | logica.normalizador_datos | Normalizacion completada sobre 7 columnas canonicas.
2026-04-23 01:57:13 | INFO | logica.detector_farmacias | Iniciando deteccion preliminar de farmacias.
2026-04-23 01:57:13 | INFO | logica.detector_farmacias | Deteccion de farmacias finalizada. Candidatas encontradas: 3.
2026-04-23 01:57:13 | INFO | logica.clasificador_tipologia | Iniciando preclasificacion con 5 reglas.
2026-04-23 01:57:13 | INFO | logica.clasificador_tipologia | Preclasificacion finalizada. Clasificados: 88. Sin clasificar: 32.
2026-04-23 01:57:13 | INFO | interfaz.ventana_principal | Resumen de archivo actualizado para: archivo_prueba_clasificador_oracle_limpio.xlsx
